"WaterYear","flow_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","DIC_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux"
1963,703.408,18004.8496,2898.01175,1948.4648,7709.54245,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,500.912,7566.94505,2094.0481,1280.85675,5605.54365,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1965,751.048,13923.20525,3098.7086,1619.34515,8663.92515,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1966,839.211,15174.74025,3374.6498,2018.293,9034.70765,1078.82525,-888.88,-888.88,-888.88,507.4208,22.7014920088339,53578.35675,7694.5067,4865.19635,-888.88,-888.88,-888.88,-888.88,-888.88,45635.9591,-888.88,-888.88,-888.88
1967,932.646,16697.58865,3910.50385,2565.72395,10939.95685,1064.0368,-888.88,-888.88,-888.88,293.63125,20.4896779713068,59076.0806,13091.10605,5334.2883,-888.88,-888.88,-888.88,-888.88,-888.88,47614.887,-888.88,-888.88,-888.88
1968,925.939,17286.77335,3674.059,2435.70635,9653.03015,1134.40655,-888.88,-888.88,-888.88,262.93005,32.8211364101929,55074.1875,12749.2542,5236.31715,-888.88,-888.88,-888.88,-888.88,-888.88,40788.121,-888.88,-888.88,-888.88
1969,873.71,20526.20285,3841.08155,2400.0339,9793.8081,1205.938875,-888.88,-888.88,-888.88,665.011875,37.9793723490325,48964.1975,31163.373675,4271.160675,-888.88,-888.88,-888.88,-888.88,-888.88,46388.7165,-888.88,-888.88,-888.88
1970,813.276,18696.99525,3459.41625,2312.4653,8517.79965,-888.88,-888.88,-888.88,-888.88,237.0251,42.0405891064542,52155.1735,29685.04835,4739.3321,-888.88,-888.88,-888.88,-888.88,-888.88,45645.8155,-888.88,-888.88,-888.88
1971,798.138,22407.99325,4327.65005,2927.7366,9386.6158,-888.88,-888.88,-888.88,-888.88,94.5022,53.0841496048064,43672.1445,58252.90205,4262.56675,-888.88,-888.88,-888.88,-888.88,-888.88,47025.675,-888.88,-888.88,-888.88
1972,1078.278,26365.70415,4713.74605,4536.8679,12206.1853,-888.88,-888.88,-888.88,-888.88,251.501,75.9421125772597,61066.686,61805.85315,6648.43045,8.1726,-888.88,-888.88,-888.88,-888.88,66134.162,-888.88,-888.88,-888.88
