"WaterYear","flow_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","DIC_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux"
1963,643.889,12354.42865,2453.8318,1398.48525,6151.0293,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1964,438.96,7204.3831,1785.6466,886.27165,5281.7147,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1965,704.913,11446.46885,2797.7325,1108.3332,7557.6756,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1966,771.935,11932.90105,2975.59135,1315.60365,7758.1448,-888.88,-888.88,-888.88,-888.88,-888.88,231.156698591079,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1967,865.839,13945.63155,3525.2038,1678.81425,9611.14615,-888.88,-888.88,-888.88,-888.88,-888.88,132.780959077163,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1968,834.11,13257.7368,3095.2309,1783.1968,7929.8037,-888.88,-888.88,-888.88,-888.88,-888.88,173.356619497899,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1969,818.817,16615.15335,3493.7608,1717.3843,8715.2353,-888.88,-888.88,-888.88,-888.88,-888.88,137.61289557828,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1970,761.836,15934.4878,3453.81175,1609.016,7782.76535,-888.88,-888.88,-888.88,-888.88,-888.88,90.3848581604957,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1971,714.036,14928.7195,3274.52195,1626.05675,7157.8594,-888.88,-888.88,-888.88,-888.88,-888.88,118.113982755115,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88
1972,961.429,16152.90355,3361.5122,1761.233,9226.9748,-888.88,-888.88,-888.88,-888.88,196.5944,127.257867820506,66250.102,15987.3017,5594.19315,12.77375,-888.88,-888.88,-888.88,-888.88,54467.78875,-888.88,-888.88,-888.88
1973,1331.944,21865.50065,4652.49365,2381.86015,11174.644,-888.88,-888.88,-888.88,-888.88,399.35635,153.994666017311,86121.5865,27325.3357,5816.23445,16.5768,-888.88,-888.88,-888.88,-888.88,64807.53725,-888.88,-888.88,-888.88
1974,754.555,12283.9815,2790.8279,1281.8759,6998.58125,-888.88,-888.88,-888.88,-888.88,141.15935,60.7775078457597,50178.8655,13916.60985,3895.97565,1.5516,-888.88,-888.88,-888.88,-888.88,39753.034,-888.88,-888.88,-888.88
1975,1184.964,18134.7398,3873.49245,1821.6261,10066.5374,-888.88,-888.88,-888.88,-888.88,186.54165,106.690315434253,77363.467,22576.34585,5015.8447,20.9834,-888.88,-888.88,-888.88,-888.88,60705.432,-888.88,-888.88,-888.88
1976,801.928,11428.4714,2533.0818,1460.9209,7063.26755,-888.88,-888.88,-888.88,-888.88,81.1476,70.0073178842143,48466.8735,16904.108,2972.82185,17.52645,-888.88,-888.88,-888.88,-888.88,43161.1695,-888.88,-888.88,-888.88
1977,903.745,12347.31975,2592.59365,1494.2533,7380.02665,-888.88,-888.88,-888.88,-888.88,103.22705,82.768393392034,53996.639,6450.4565,3534.7748,36.09335,-888.88,-888.88,-888.88,-888.88,45125.9895,-888.88,-888.88,-888.88
1978,818.8,10536.5085,2300.6191,1547.3804,6904.62425,-888.88,-888.88,-888.88,-888.88,93.8765,93.2200817047615,47159.532,6554.764,4472.2299,35.3769,-888.88,-888.88,-888.88,-888.88,35927.55475,-888.88,-888.88,-888.88
1979,693.044,9567.338,2080.76515,1616.44025,6233.84705,-888.88,-888.88,-888.88,-888.88,119.778,66.2114963435262,39146.359,10405.12815,3984.40845,27.3043,-888.88,-888.88,-888.88,-888.88,34668.648,-888.88,-888.88,-888.88
